,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
90,Software Developer - AI Trainer (Contract),USD 40.00 Per Hour (Employer est.),You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure……,4.0,DataAnnotation,"Los Angeles, CA",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
91,"NLP Data Scientist - Python | Machine Learning | AI - Hybrid - TS/SCI - Tampa, FL",USD 88K - 126K (Glassdoor est.),The Data Scientist will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to……,4.0,Deloitte,"Tampa, FL",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
92,Senior Data Analyst,USD 68K - 102K (Glassdoor est.),"Develops and maintains working relationships with business leaders/strategy owners, and advises executive roles through objective metrics of progress and……",3.7,Simmons Prepared Foods Inc,"Siloam Springs, AR",1001 to 5000 Employees,1949,Company - Private,Food & Beverage Manufacturing,Manufacturing,$1 to $5 billion (USD)
93,Data Scientist- Mid,USD 146K - 234K (Employer est.),Apply technical methods to data science problems supporting business and mission users. Possesses an expert ability to describe findings and techniques tailored……,3.6,Peraton,"Herndon, VA",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
94,"Engineering Manager, Machine Learning",USD 190K - 210K (Employer est.),"Drive the research, design, and implementation of advanced ML and Generative AI algorithms to enhance model capabilities. 401k retirement plan with matching.…",3.7,Vagaro,"Pleasanton, CA",201 to 500 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
95,Data Scientist,USD 97K - 160K (Glassdoor est.),10+ years’ experience in Data Science or related field. The incumbent will assist with definition and implementation of data analysis and data modeling……,3.2,Quirch Foods,"Coral Gables, FL",201 to 500 Employees,1967,Company - Private,Wholesale,Retail & Wholesale,$500 million to $1 billion (USD)
96,Data Scientist Technical Specialist,USD 146K - 234K (Employer est.),The candidate for this role will be involved in the analysis of unstructured and semi-structured data. Candidate selected must have an active TS/SCI clearance……,3.6,Peraton,"Reston, VA",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
97,"Data Scientist, Advisor",USD 146K - 234K (Employer est.),"A degree in a related field (e.g., Computer Info Sys, Engineering, in the physical/hard sciences, or other science disciplines with a substantial computational……",3.6,Peraton,"Fort Meade, MD",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
98,Data Visualization PowerBI Developer,USD 78K - 107K (Glassdoor est.),"Perform technical risk analysis and reliability assessments. The Artificial Intelligence & Data Engineering team leverages the power of data, analytics,……",4.0,Deloitte,"Lake Mary, FL",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
99,Senior Data Scientist,USD 117K - 167K (Glassdoor est.),"Master of Arts or Master of Science (MA/MS) degree required in Statistics, Biostatistics, Data Science, Information Management, or a closely related field.…",3.0,Garud Technology Services,"Washington, DC",Unknown,--,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
100,Principal Data Scientist - AI Foundations,-1,"Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics) plus 3 years of experience in data analytics, or PhD in “STEM” field (Science……",3.9,Capital One,"McLean, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
101,Enterprise Data Scientist,USD 146K - 234K (Employer est.),"Bachelor's degree Computer Science, Mathematics, or related discipline plus nine years of experience in Mathematics/Statistics, Computer Science, and analysis……",3.6,Peraton,"Columbia, MD",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
